"agno","mes","dia","valor","sitio"
1976,9,1,14.8,"Pudahuel Santiago"
1976,10,1,31.4,"Pudahuel Santiago"
1976,11,1,11.8,"Pudahuel Santiago"
1976,12,1,0,"Pudahuel Santiago"
1977,1,1,0,"Pudahuel Santiago"
1977,2,1,0,"Pudahuel Santiago"
1977,3,1,0,"Pudahuel Santiago"
1977,4,1,20.2,"Pudahuel Santiago"
1977,5,1,24.2,"Pudahuel Santiago"
1977,6,1,107.4,"Pudahuel Santiago"
1977,7,1,96.7,"Pudahuel Santiago"
1977,8,1,38.9,"Pudahuel Santiago"
1977,9,1,1.4,"Pudahuel Santiago"
1977,10,1,24,"Pudahuel Santiago"
1977,11,1,20.9,"Pudahuel Santiago"
1977,12,1,0,"Pudahuel Santiago"
1978,1,1,0,"Pudahuel Santiago"
1978,2,1,0,"Pudahuel Santiago"
1978,3,1,0,"Pudahuel Santiago"
1978,4,1,0.3,"Pudahuel Santiago"
1978,5,1,9.8,"Pudahuel Santiago"
1978,6,1,52.2,"Pudahuel Santiago"
1978,7,1,220,"Pudahuel Santiago"
1978,8,1,11.5,"Pudahuel Santiago"
1978,9,1,18.5,"Pudahuel Santiago"
1978,10,1,1.8,"Pudahuel Santiago"
1978,11,1,66.2,"Pudahuel Santiago"
1978,12,1,1.1,"Pudahuel Santiago"
1979,1,1,0,"Pudahuel Santiago"
1979,2,1,0,"Pudahuel Santiago"
1979,3,1,0,"Pudahuel Santiago"
1979,4,1,8.1,"Pudahuel Santiago"
1979,5,1,10,"Pudahuel Santiago"
1979,6,1,0.6,"Pudahuel Santiago"
1979,7,1,85,"Pudahuel Santiago"
1979,8,1,26.4,"Pudahuel Santiago"
1979,9,1,28.9,"Pudahuel Santiago"
1979,10,1,0,"Pudahuel Santiago"
1979,11,1,24.4,"Pudahuel Santiago"
1979,12,1,9.1,"Pudahuel Santiago"
1980,1,1,1,"Pudahuel Santiago"
1980,2,1,25.4,"Pudahuel Santiago"
1980,3,1,0,"Pudahuel Santiago"
1980,4,1,36.8,"Pudahuel Santiago"
1980,5,1,36,"Pudahuel Santiago"
1980,6,1,58.7,"Pudahuel Santiago"
1980,7,1,54.5,"Pudahuel Santiago"
1980,8,1,15.2,"Pudahuel Santiago"
1980,9,1,62.1,"Pudahuel Santiago"
1980,10,1,0.1,"Pudahuel Santiago"
1980,11,1,0.7,"Pudahuel Santiago"
1980,12,1,0,"Pudahuel Santiago"
1981,1,1,0,"Pudahuel Santiago"
1981,2,1,0.5,"Pudahuel Santiago"
1981,3,1,6,"Pudahuel Santiago"
1981,4,1,1.3,"Pudahuel Santiago"
1981,5,1,169.1,"Pudahuel Santiago"
